document;love;big;don;role;bad;isn;year;show;feel;back;turn;good;life;scene;plai;cast;world;act;audienc;plot;find;friend;action;end;man;make;live;doesn;set;star;movi;director;work;made;perform;film;great;funni;script;stori;actor;charact;watch;comedi;gui;time;thing
negativo (281).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0.42881334960781603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8059005764955747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.40821975944609235
negativo (134).txt;0;0;0.32022636144463484;0;0;0.3952528362871904;0;0;0;0;0;0;0;0;0.20975486971136661;0;0;0.5130101056027059;0;0;0.5323337438138598;0;0;0;0;0;0;0;0;0;0.3881682421603415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
positivo (684).txt;0;0;0;0;0;0;0;0;0;0.536501973149717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3791728800347032;0;0;0;0;0.3230518092299674;0;0;0.5057016971622881;0;0.2611873310976683;0;0;0;0;0;0;0;0;0;0.3742700361599258;0
negativo (676).txt;0;0;0;0;0;0;0;0;0;0;0;0.39698716234461956;0.5800297830670041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.661871954298176;0;0;0.26056124002300124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
negativo (992).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7574976991480435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5191890238060028;0;0;0;0;0.3957777069830866;0;0;0;0;0;0;0;0;0;0;0
negativo (895).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5421813747860611;0;0;0;0;0;0;0.3207951869682163;0;0;0;0;0.06792836610341688;0;0.6945860105184548;0;0;0;0;0;0;0;0.34068433472013515;0
positivo (199).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0.44099281988060796;0.3100529703637945;0;0;0;0;0;0;0;0;0;0;0.5487415570520883;0;0;0;0;0;0;0;0;0;0.10799773499148713;0;0;0;0.6297711339709814;0;0;0;0;0;0;0
negativo (400).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.36232046342180196;0;0.45957012631325533;0.37596804945411805;0;0.6127601684176737;0;0;0.2949602363498767;0;0;0;0;0.22845764610544703;0;0;0;0;0.03870071685411719;0;0;0;0;0;0;0;0;0;0;0
positivo (634).txt;0;0;0;0;0;0;0;0;0;0;0;0.29878189784489506;0.43654408965718805;0;0.5563383342766218;0;0;0;0;0;0;0;0;0;0;0.35165185235528057;0;0;0;0;0;0;0;0;0;0.12457537711397929;0;0;0;0;0.5210261445185868;0;0;0;0;0;0
positivo (706).txt;0;0;0;0;0;0;0;0;0;0;0;0.2783534188657457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5580924640866816;0;0;0;0.18269636618964477;0;0;0.5243165636211694;0.4607527684619553;0;0;0;0;0.30078770085167694;0;0;0;0;0;0;0
negativo (748).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5027489475502589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8040113486591525;0;0.07909710201428405;0;0;0;0.30749454534566895;0;0;0;0;0;0;0
positivo (41).txt;0;0;0;0.46058540935869713;0;0;0;0.5728107646744173;0;0;0;0.2661657008084527;0;0;0.21240268813963983;0;0;0.3463240229662884;0;0;0;0;0;0;0;0.1879584989542893;0;0;0;0.3257836573976508;0.14558083071805894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2473708358528484;0
positivo (57).txt;0;0;0;0;0;0;0;0.5327971699011959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.49355749001847304;0.4370717280367603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.287613487268794;0.44584186241758944
positivo (424).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.46051339335770464;0;0.29315819808529625;0;0;0;0;0;0;0;0;0;0.2884820821433832;0;0.7866153912273599;0;0;0;0;0;0;0;0;0
negativo (789).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0.31777185985539236;0.2234188508394904;0;0;0;0;0;0;0;0;0;0;0.3295114593392458;0;0;0;0;0.12250504807887884;0;0;0;0;0.10376175321163095;0.3700039811700116;0;0;0.5294359864542504;0;0.5454794792372337;0;0;0;0;0
positivo (571).txt;0;0;0;0;0;0;0;0;0.4863500503963832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.28491296435294133;0;0;0;0;0.18099092133910863;0.28684241384529313;0;0;0;0;0;0.2688108430405147;0;0;0;0.7035571603637681
negativo (2).txt;0;0;0.6670005598918431;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4749113181112305;0;0;0;0;0.20079375073173564;0;0;0;0;0;0;0.44674448173893017;0.29945071503791376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
negativo (247).txt;0;0;0;0;0;0;0;0;0;0;0;0.29947616472282906;0;0;0;0;0;0;0;0;0;0.7752720811048258;0;0;0;0;0;0.33286529676872106;0;0;0;0;0;0;0;0.1109909756948804;0;0;0;0;0;0;0;0;0;0;0.4314497937694107
positivo (352).txt;0.7502644363359268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.18140369745543153;0;0;0;0;0;0.6357640868427789;0;0;0;0;0
negativo (660).txt;0;0;0;0;0;0;0.31687012683290955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.11038929055121563;0;0;0;0.25748683967926217;0;0;0.5902274927946719;0;0.6875605874348795;0;0
negativo (491).txt;0;0;0;0;0;0;0;0.4603586987940424;0;0;0;0;0;0;0.18967176356498017;0.3387843983936444;0;0;0;0.39226920767684187;0;0;0.39226920767684187;0;0;0;0;0;0;0;0.1950015779842373;0.30926109634615095;0;0;0.4426074087082843;0;0;0;0;0;0;0;0;0;0;0;0
positivo (578).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7189592116444519;0;0;0.1220251500364412;0;0;0;0;0;0.6842569069802454;0;0;0;0;0
negativo (466).txt;0;0;0.5465184147740876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5490716964509491;0;0;0;0;0;0.09351898526055377;0;0;0;0;0;0;0;0;0;0.6253735634523827;0
negativo (513).txt;0;0;0;0;0.5050580945248571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6701738509935361;0;0.3704652020102247;0;0;0;0;0.1568919790135139;0;0;0;0.3659559695102139;0;0;0;0;0;0;0
positivo (3).txt;0.4893846144959813;0;0;0;0;0;0.42456721424894944;0;0;0;0;0;0;0;0.3397060917163775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5210418661314921;0;0;0.4357295416148974;0;0;0.05916325914428852;0;0;0;0;0;0;0;0;0;0;0
positivo (108).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2934255856332778;0;0;0;0;0;0.18832573123018573;0;0;0;0;0.2042113720361297;0;0;0;0;0.03706435598342155;0;0.6316551938396967;0;0;0;0;0.6605834616415813;0;0;0;0
negativo (175).txt;0;0;0;0;0.620739262233626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6106187473458099;0;0;0;0;0;0;0;0;0;0;0.48567307124360165;0;0;0;0;0.07713093789326766;0;0;0;0;0;0;0;0;0;0;0
negativo (635).txt;0.3314133342924512;0;0;0;0;0;0;0;0.7536365814834746;0;0;0;0;0;0;0;0.30190407708957023;0;0.2864935686375683;0.3171854654387427;0;0;0;0;0;0.15268143178129392;0;0;0;0;0.14190892009208295;0;0;0;0;0.07011481705737509;0;0;0;0;0;0;0;0;0;0;0
negativo (951).txt;0;0.2539741047872988;0.312986623316062;0;0;0;0;0;0.2878345564113668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2629628625142098;0;0;0.24100900865591282;0;0;0;0;0;0.6256758103950265;0;0;0;0;0.48578057477602493
positivo (587).txt;0;0;0;0.5840344299150424;0;0;0;0;0;0;0;0;0;0;0.3591096037331581;0;0;0;0;0;0;0;0;0;0.5382763141156767;0;0;0;0;0;0;0;0;0;0;0.09381386615494994;0;0;0;0.3647068146090394;0;0;0;0;0;0.31367273508747284;0
positivo (950).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5699479636681019;0;0;0;0;0.665380695497859;0;0;0;0;0;0;0;0;0;0;0;0;0;0.34265888355762525;0;0;0.09305229225852997;0;0;0;0;0;0.3261196240551069;0;0;0;0;0
negativo (579).txt;0;0;0;0;0;0;0;0;0;0;0;0.15618524967911754;0.6845971740340754;0;0;0;0;0.2709625561949862;0;0;0.5623378970407928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.057884918043737396;0;0;0;0.3375464353867728;0;0;0;0;0;0;0
negativo (626).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6988572712248031;0;0;0;0;0;0;0;0;0;0;0.48637409006522986;0;0;0;0;0;0;0;0;0;0;0;0.5244413780103947;0;0;0;0
positivo (465).txt;0;0;0;0;0.3439454250063417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4511169983931194;0;0;0.4511169983931194;0;0;0;0;0;0.3042596914518765;0;0.10091497412814623;0;0;0;0;0.08547496454269106;0;0;0;0;0;0;0;0.40963185193176915;0.44365125561917546;0;0
positivo (149).txt;0;0;0;0;0;0.4895673893348487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.459813262289097;0;0;0;0;0;0;0;0;0;0.158367601039412;0.43026510110578053;0;0.4879516748585718;0;0;0.3171598080417615;0;0;0;0;0
positivo (562).txt;0;0;0;0;0;0;0;0;0;0.7297348171499349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3195679551635116;0;0;0;0.6044529912836587;0;0;0;0;0;0;0;0;0;0;0;0
positivo (474).txt;0;0;0;0;0;0;0;0;0.2942688136507691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7233256365752014;0.12929113497397424;0;0;0;0;0.16426435134717707;0.5206668124626461;0;0;0;0;0;0;0;0;0.27461424667935397;0
positivo (537).txt;0;0;0;0;0;0;0;0;0.6878465911247995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.32515664035514824;0;0;0;0;0;0;0;0;0;0.14931939062602573;0;0;0;0.2487804607749296;0;0.29903912768166135;0;0;0;0;0.497521686307263
negativo (522).txt;0;0;0;0;0;0;0;0;0;0;0;0.3129575053686299;0;0;0.3329906406015369;0;0;0.5429434969647334;0;0;0;0;0.6886738030872938;0;0;0;0;0;0;0;0.13693909763017714;0;0;0;0;0.057993695264610345;0;0;0;0;0;0;0;0;0;0;0
positivo (521).txt;0;0;0;0;0;0;0.33663234604018794;0;0;0;0;0;0;0;0;0;0;0;0;0.3713667366018532;0;0;0;0;0;0;0;0;0;0;0.25845500366428714;0;0;0;0;0;0;0;0;0;0.5885861521235879;0;0;0;0.4869610901398795;0.31369038851101405;0
negativo (9).txt;0;0;0;0;0;0;0;0;0;0;0;0;0.4898130088886318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.22003402015078255;0;0;0;0.5549168057072884;0.12424584975659114;0;0;0;0;0;0;0;0;0;0.6231360636824289;0
negativo (125).txt;0;0;0;0;0;0.5053036987105505;0.44685990658576014;0;0;0;0;0;0;0;0.35754299276152773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.40434902445561144;0;0;0;0;0;0;0;0.5036360498460456;0;0;0;0;0;0;0;0
positivo (609).txt;0;0;0;0;0;0;0;0.5680479707640154;0;0;0;0;0;0.1997276599264585;0.14042440473469345;0;0;0;0;0;0;0;0;0;0.31572727465391714;0.2485275545395207;0.39691434338356313;0;0;0;0;0.34344441586158037;0;0;0;0.07336900029250129;0;0;0;0.2852262195817838;0;0;0;0;0;0.30664250307053603;0
negativo (1000).txt;0.37247455327467327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07504938470102353;0;0;0;0;0;0.42083996480198543;0.2675151423758599;0;0.779076164212407;0;0
negativo (610).txt;0;0;0;0;0;0;0;0.6449747833758137;0;0;0;0;0;0;0;0.7119689316312987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.27768285723304814;0;0;0;0;0;0;0;0;0;0;0
negativo (563).txt;0;0;0;0;0;0;0;0;0;0;0;0.7685611049279636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4272627856512718;0;0;0;0;0;0;0;0;0;0.4761935950739185;0
negativo (739).txt;0;0;0;0;0;0.22568818707912;0;0;0;0;0;0;0;0;0.11976940310120565;0;0;0;0;0.33026774237338413;0;0;0.16513387118669207;0;0;0;0;0;0;0;0.5171667783963463;0;0;0;0;0;0;0;0;0;0;0.2924182600828787;0;0;0;0.1569231058986033;0.6486750947559095
positivo (530).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25123727103952725;0;0;0;0;0;0;0.29886092082588456;0;0.6088618050277923;0;0;0.23446696593111035;0;0;0;0;0;0;0.566424623103406;0;0;0.16919981740044465;0;0;0;0.2690893829992075;0;0;0;0;0;0;0
positivo (361).txt;0;0;0;0;0;0;0.6060842747288303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.26744849906357626;0;0;0;0;0.3039490207272035;0;0;0;0;0.24880755210904204;0;0;0.05067455018516942;0;0;0;0;0.6358262632599248;0;0;0;0;0;0
negativo (369).txt;0;0;0;0;0;0;0;0;0;0;0.4542291062420267;0;0;0;0;0;0;0;0;0;0;0;0;0.3481783105248571;0;0;0;0.5232980657852574;0;0;0.17167368002877334;0;0.4283629881745278;0;0;0.1308668178942932;0;0;0;0;0.41050467888907655;0;0;0;0;0;0
positivo (230).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.28447410094783665;0;0;0;0;0;0;0;0.6456617509461442;0;0;0;0.21136292509977825;0;0;0.6065861345605444;0;0;0;0;0;0;0;0;0;0;0;0.2992897667933907;0
negativo (441).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3836086170117709;0;0;0;0;0;0;0;0;0;0;0;0;0.14536775627673612;0;0;0;0;0.9119828092619859;0;0;0;0;0;0
negativo (854).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5550846539089518;0;0.45234397777838864;0;0;0;0;0.5140784470991028;0;0;0.4722174319003681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
negativo (554).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6656595938101638;0;0;0;0;0;0;0;0;0;0.3235913777890039;0;0;0;0;0.20556137814379086;0;0;0;0;0;0;0.40707107993092073;0;0;0.34365388803087404;0.3551416426299015
negativo (238).txt;0;0;0;0;0;0;0.3693581316686366;0;0;0;0;0;0;0.560452620495855;0;0;0;0;0;0;0;0;0;0;0.2953191001969999;0;0;0;0.5496421712634851;0;0;0;0;0;0;0;0;0;0;0.40018438672339424;0;0;0;0;0;0;0
positivo (16).txt;0.6689174928519926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4175947951848588;0;0;0;0;0;0.19095059294861144;0;0.357347293607219;0;0.43341263188714835;0.16173511713893568;0;0;0;0;0;0;0;0;0;0;0
positivo (957).txt;0;0;0;0;0;0;0;0;0;0;0;0.22867360860841887;0;0;0.2433115362722828;0;0;0;0.2693407432842385;0;0;0;0;0;0;0.2870803035282021;0;0.5083376746397426;0;0.37319170895668247;0;0;0;0;0;0.21187585127691166;0.40294825950032925;0.28886509069388405;0;0;0;0;0;0;0;0.2125261877361896;0
positivo (731).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5642670706080877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1856393881387388;0;0;0;0;0.05896369786535454;0;0;0;0.8022867149173575;0;0;0;0;0;0;0
positivo (82).txt;0;0;0;0.667436359861807;0;0;0;0;0;0;0;0;0;0;0;0;0.35904852672376697;0;0.34072111488787493;0;0;0;0;0;0;0;0;0;0;0.3147296954090226;0;0;0;0;0;0.05360538876118223;0;0;0;0.20839404005245163;0;0.2504938360401265;0.31846259774344315;0;0;0;0
negativo (723).txt;0;0;0;0;0;0;0;0;0;0;0;0.27490323142767;0;0;0;0;0;0;0;0;0;0.8006159708726741;0.4032893723495211;0;0;0;0;0;0;0;0.18043184682365984;0;0;0;0;0;0;0;0;0.2970594407453886;0;0;0;0;0;0;0
negativo (74).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.15289199575919094;0;0;0;0.2538723260571649;0;0;0;0;0;0;0.2705930916103124;0;0;0;0.7035181240151107;0;0;0;0;0;0.07988307233896194;0;0;0;0.15527502515356614;0;0.5599311287715447;0;0;0;0;0
positivo (246).txt;0;0;0.37843505237542274;0;0;0;0;0;0.46403127084442064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4610221891710502;0;0;0;0;0;0;0.06475694345963337;0;0;0;0.5034927040310326;0;0;0;0.41378988286972446;0;0;0
positivo (862).txt;0;0;0;0;0;0;0;0;0;0.2860846493155259;0;0;0;0.4333041997118182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.42494628883433333;0;0;0;0.3907607609259144;0;0.5924231583004493;0.07958611232691605;0;0;0;0;0;0;0;0;0;0.19957598928390455;0
positivo (643).txt;0.8705988874142765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.21001645372051997;0;0;0;0;0;0;0.21745761413780687;0;0;0;0;0.1315618280109495;0;0;0;0.30687251587371467;0;0;0;0;0;0.19794847022628725;0
negativo (967).txt;0;0;0;0;0;0;0;0;0;0;0;0;0.41663347401194867;0;0;0;0;0;0;0;0;0.3690984446014432;0;0.2811757787007831;0;0;0;0.47542043481320967;0;0;0;0;0;0;0;0.08806928881749533;0.5024739690328548;0;0;0;0;0;0;0;0;0.35335844262038996;0
positivo (377).txt;0;0;0;0;0;0;0.6257600796668202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3922704551070978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5827952394949185;0;0;0;0.33896595930492124
negativo (143).txt;0;0;0;0;0;0;0;0;0;0;0;0.21792878726112416;0;0;0;0;0;0;0;0;0;0;0;0;0.5213516675241852;0;0;0.5450086274973973;0;0;0;0;0;0;0;0;0;0.6194070377433973;0;0;0;0;0;0;0;0;0
positivo (158).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.38430580960671024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.49293609488664;0;0;0;0;0;0;0.7805914751394871;0;0;0;0;0;0;0
positivo (659).txt;0;0;0.3667790223787305;0;0;0;0;0.2591615767893922;0;0.30081222061505075;0;0;0.5498388028169222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3764526170140122;0;0;0;0;0.5135962926732784;0;0;0;0;0;0;0;0;0;0;0;0;0;0
negativo (836).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9615589335825041;0;0;0;0;0;0;0.2528579649414876;0;0;0;0;0.10708532492048954;0;0;0;0;0;0;0;0;0;0;0
positivo (133).txt;0;0;0;0;0;0;0;0;0.35058471390540796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3850857911429053;0;0.48043619781983915;0;0;0;0;0;0;0;0;0;0;0.6252527224678047;0;0.327168740418031;0
positivo (98).txt;0;0;0;0;0;0;0;0;0;0;0;0;0.7022369045634004;0;0;0;0;0;0;0;0;0;0;0.28435354447882727;0;0.2715249130240703;0;0;0;0;0;0;0.5247592842329258;0;0;0.07125169756996455;0;0;0;0;0;0;0;0;0;0.2680139966933779;0
positivo (264).txt;0;0;0.7113500065271714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.27488371498972;0;0;0;0;0.12774458128270672;0;0;0;0.48324991933000333;0.05409981843623571;0;0;0;0;0;0;0;0;0;0.4069940521836422;0
positivo (747).txt;0;0;0;0;0;0;0;0;0;0;0;0.2978702007543961;0;0;0;0.5661016667605467;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.391012285717645;0;0;0;0;0.16559366707576958;0;0;0;0;0;0.3869031999241702;0;0;0;0.276836573279207;0.42913611106406824
positivo (941).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3503480611699199;0;0.242831733564946;0;0;0.06594327631821295;0;0;0;0.19226871706131732;0;0;0.8814608385835052;0;0;0;0
negativo (949).txt;0;0;0;0;0.28633035373853893;0;0;0;0;0;0;0;0;0.2905585458157628;0.30642859520644355;0;0;0;0;0;0;0;0;0;0;0;0;0.6402047429269845;0;0;0.29403667990883137;0.33308926791621724;0;0;0;0.07115686110041018;0;0;0;0;0;0;0;0;0;0.3568763577775339;0
positivo (456).txt;0.5709103314243195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3506895983598875;0;0;0;0;0;0;0.5083169548984067;0;0;0.06901916179158105;0;0;0;0;0;0;0;0;0;0;0.536589626943676
positivo (869).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7378219214680953;0;0;0;0;0;0;0;0;0.46417371453466566;0;0;0.3045545739872533;0;0;0;0;0.12897883410156033;0;0;0;0;0;0.3616248702087061;0;0;0;0;0
negativo (335).txt;0;0;0;0.3562044356248308;0;0;0;0;0;0;0;0;0;0.46727739677441543;0;0;0;0;0;0;0;0;0;0;0;0;0.4127155529617773;0;0;0;0.18014131265138744;0;0;0;0;0.057217372017551095;0;0.39004212272200284;0;0;0;0;0.5098813761973112;0;0;0.19130998764744667;0
negativo (40).txt;0;0;0;0;0;0;0;0;0;0;0;0.2517556556959367;0;0;0;0;0;0;0;0;0;0;0;0;0;0.47408678132088256;0;0;0;0;0;0;0;0;0;0.09330494093998368;0;0;0;0.680115634664708;0;0.4905076198008774;0;0;0;0;0
negativo (757).txt;0;0;0;0;0.1928722145271393;0;0;0.3339903969340592;0;0;0;0;0;0;0;0;0;0;0;0.1897276315478959;0;0;0.7589105261915836;0;0;0;0;0;0;0;0.19806319821058765;0;0;0;0;0.09586256713647852;0;0;0;0.20962758252175903;0.33829076839082795;0;0;0;0;0.1802940184429044;0
negativo (353).txt;0;0;0;0;0.52007011576602;0;0;0;0;0;0;0.5230908747264683;0;0;0;0;0;0;0;0;0.6277883113359507;0;0;0;0;0;0;0;0;0;0.2288860025237241;0;0;0;0;0.09693320103907654;0;0;0;0;0;0;0;0;0;0;0
negativo (820).txt;0;0.5137704453558127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5718086289331177;0;0;0.4587461158812563;0;0;0;0;0;0;0.39896551785991774;0;0;0.19862864365228544;0;0;0;0;0;0;0;0;0;0;0
negativo (457).txt;0;0;0.3471718088140055;0;0;0;0.5684241732182488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6427670796385129;0;0;0;0.1402768863739721;0;0;0;0;0.059407248490936225;0;0;0;0.34642365648855367;0;0;0;0;0;0;0
